id;name;meaning;gender;origin;PeoplesCount;WhenPeoplesCount;Source
48708;Procrustes;myth name (stretcher);Male;Greek;10;07.07.2016 21:30:23;myData.biz
48709;Proinsias;frank;Male;Gaelic;102;07.07.2016 21:30:32;myData.biz
48710;Prokopios;declared leader;Male;Greek;107;07.07.2016 21:30:41;myData.biz
48711;Prometheus;myth name (gave fire to man);Male;Greek;7000;07.07.2016 21:30:48;myData.biz
48712;Promyse;Variant of Promise. A vow.;Female;English;40;07.07.2016 21:30:57;myData.biz
48713;Prospero;Wealthy;Male;Spanish;5000;07.07.2016 21:31:06;myData.biz
48714;Protesilaus;myth name (offered himself as a sacrifice for the Greeks when they arrived at Troy);Male;Greek;2;07.07.2016 21:31:10;myData.biz
48715;Proteus;myth name (a sea god);Male;Greek;4000;07.07.2016 21:31:19;myData.biz
48716;Prudencia;Prudent;Female;Spanish;472;07.07.2016 21:31:27;myData.biz
48717;Pruet;Brave;Male;French;844;07.07.2016 21:31:37;myData.biz
48718;Pruie;Brave;Male;French;6;07.07.2016 21:31:43;myData.biz
48719;Pruitt;Brave;Male;French;22000;07.07.2016 21:31:51;myData.biz
48720;Prunella;Color of plum;Female;French;395;07.07.2016 21:31:59;myData.biz
48721;Prunellie;Color of plum;Female;French;2;07.07.2016 21:32:07;myData.biz
48722;Pryderi;Care;Male;Celtic;48;07.07.2016 21:32:18;myData.biz
48723;Prydwyn;Name of Arthur's ship;Female;Arthurian Legend;27;07.07.2016 21:32:26;myData.biz
48724;Pryor;Head of a priory;Male;French;20000;07.07.2016 21:32:31;myData.biz
48725;Pryor;Servant of the priory;Male;English;20000;07.07.2016 21:32:38;myData.biz
48726;Psamtic;name of a pharaoh;Male;Egyptian;3;07.07.2016 21:32:47;myData.biz
48727;Pslomydes;A knight;Male;Arthurian Legend;0;07.07.2016 21:32:54;myData.biz
48728;Psusennes;name of a pharaoh;Male;Egyptian;8;07.07.2016 21:33:03;myData.biz
48729;Psyche;myth name (lover of Cupid);Female;Greek;4000;07.07.2016 21:33:14;myData.biz
48730;Ptah;myth name (god worshiped in Memphis);Male;Egyptian;928;07.07.2016 21:33:19;myData.biz
48731;Ptaysanwee;"Sioux name meaning &quot; white buffalo.&quot;";Female;Native;4;07.07.2016 21:33:29;myData.biz
48732;Ptolemy;name of a pharaoh;Male;Egyptian;393;07.07.2016 21:33:36;myData.biz
48733;Puebla;From the city;Female;Spanish;163000;07.07.2016 21:33:47;myData.biz
48734;Pueblo;From the city;Male;Spanish;49000;07.07.2016 21:33:50;myData.biz
48735;Puengi;night;Female;Chamoru;3;07.07.2016 21:33:58;myData.biz
48736;Pulan;moon;Male;Chamoru;231;07.07.2016 21:34:09;myData.biz
48737;Pules;"Algonquin name meaning &quot;pigeon.&quot; ROZENE";Female;Native;118;07.07.2016 21:34:18;myData.biz
48738;Pules;Pigeon (Algonquin);Female;Native American;118;07.07.2016 21:34:23;myData.biz
48739;Pura;Pure;Female;Spanish;25000;07.07.2016 21:34:33;myData.biz
48740;Pureza;Pure;Female;Spanish;2000;07.07.2016 21:34:40;myData.biz
48741;Purisima;Pure;Female;Spanish;2000;07.07.2016 21:34:50;myData.biz
48742;Puti'on;star;Male;Chamoru;0;07.07.2016 21:34:54;myData.biz
48743;Putnam;dwells by the pond;Male;Anglo;33000;07.07.2016 21:35:03;myData.biz
48744;Putnam;Dwells by the pond;Male;Anglo-Saxon;33000;07.07.2016 21:35:10;myData.biz
48745;Putnam;From the commander's estate;Male;English;33000;07.07.2016 21:35:18;myData.biz
48746;Pwyll;myth name (lord of Annwn);Male;Celtic;52;07.07.2016 21:35:30;myData.biz
48747;Pwyll;Mythical lord of Annwn;Male;Celtic;52;07.07.2016 21:35:34;myData.biz
48748;Pygmalion;myth name (king of Cyprus);Male;Greek;874;07.07.2016 21:35:44;myData.biz
48749;Pylades;myth name (friend of Orestes);Male;Greek;102;07.07.2016 21:35:53;myData.biz
48750;Pyn;From the enclosure;Male;English;1000;07.07.2016 21:35:59;myData.biz
48751;Pyramus;myth name (lover of Thisbe);Male;Greek;43;07.07.2016 21:36:11;myData.biz
48752;Pyrena;ardent;Female;Greek;50;07.07.2016 21:36:21;myData.biz
48753;Pyrrha;myth name (daughter of Epimetheus);Female;Greek;134;07.07.2016 21:36:24;myData.biz
48754;Pyrrhus;myth name (king of Epirus);Male;Greek;108;07.07.2016 21:36:33;myData.biz
48755;Pyt;From the Pit;Male;English;7000;07.07.2016 21:36:39;myData.biz
48756;Pythia;prophetess;Female;Greek;248;07.07.2016 21:36:48;myData.biz
48757;Qadir;Capable;Male;Arabic;14000;07.07.2016 21:36:55;myData.biz
48758;Qaletaqa;Guardian of the people (Hopi);Male;Native American;12;07.07.2016 21:37:03;myData.biz
48759;Qaletaqa;"Hopi name meaning &quot; guardian of the people.&quot; QOCHATA";Male;Native;12;07.07.2016 21:37:10;myData.biz
48760;Qaraja;meaning unknown;Male;Arabic;13;07.07.2016 21:37:19;myData.biz
48761;Qaseem;Divides;Male;Arabic;2000;07.07.2016 21:37:27;myData.biz
48762;Qasim;"divides; distributes";Male;Arabic;29000;07.07.2016 21:37:35;myData.biz
48763;Qays;firm;Male;Arabic;836;07.07.2016 21:37:43;myData.biz
48764;Qeb;father of the earth;Male;Egyptian;209;07.07.2016 21:37:53;myData.biz
48765;Qeturah;Incense;Female;Hebrew;23;07.07.2016 21:38:00;myData.biz
48766;Qi;"fine jade; outstanding; distinguished";Female;Chinese;40000;07.07.2016 21:38:07;myData.biz
48767;Qiannah;Beautiful princess shining like morning sun.;Female;Unknown;2;07.07.2016 21:38:14;myData.biz
48768;Qiao;"handsome; pretty";Female;Chinese;7000;07.07.2016 21:38:23;myData.biz
48769;Qing Yuan;clear spring;Female;Chinese;143;07.07.2016 21:38:35;myData.biz
48770;Qistina;Justice;Female;Arabic;4000;07.07.2016 21:38:41;myData.biz
